from_person_id,relationship,to_person_id
P00002,SPOUSE,P00001
P00003,CHILD_OF,P00001
P00008,CHILD_OF,P00001
P00016,CHILD_OF,P00001
P00003,CHILD_OF,P00002
P00008,CHILD_OF,P00002
P00016,CHILD_OF,P00002
P00004,SPOUSE,P00003
P00005,CHILD_OF,P00003
P00007,CHILD_OF,P00003
P00005,CHILD_OF,P00004
P00007,CHILD_OF,P00004
P00006,SPOUSE,P00005
P00008,SPOUSE,P00009
P00010,CHILD_OF,P00009
P00010,CHILD_OF,P00008
P00011,CHILD_OF,P00009
P00011,CHILD_OF,P00008
P00015,CHILD_OF,P00009
P00015,CHILD_OF,P00008
P00011,SPOUSE,P00012
P00013,CHILD_OF,P00012
P00014,CHILD_OF,P00012
P00013,CHILD_OF,P00011
P00014,CHILD_OF,P00011
P00018,SPOUSE,P00017
P00019,CHILD_OF,P00017
P00028,CHILD_OF,P00017
P00034,CHILD_OF,P00017
P00009,CHILD_OF,P00017
P00019,CHILD_OF,P00018
P00028,CHILD_OF,P00018
P00034,CHILD_OF,P00018
P00009,CHILD_OF,P00018
P00019,SPOUSE,P00020
P00024,CHILD_OF,P00020
P00021,CHILD_OF,P00020
P00024,CHILD_OF,P00019
P00021,CHILD_OF,P00019
P00028,SPOUSE,P00029
P00030,CHILD_OF,P00029
P00030,CHILD_OF,P00028
P00034,SPOUSE,P00035
P00036,CHILD_OF,P00035
P00039,CHILD_OF,P00035
P00036,CHILD_OF,P00034
P00039,CHILD_OF,P00034
P00024,SPOUSE,P00025
P00026,CHILD_OF,P00025
P00027,CHILD_OF,P00025
P00026,CHILD_OF,P00024
P00027,CHILD_OF,P00024
P00021,SPOUSE,P00022
P00023,CHILD_OF,P00022
P00023,CHILD_OF,P00021
P00030,SPOUSE,P00031
P00032,CHILD_OF,P00031
P00033,CHILD_OF,P00031
P00032,CHILD_OF,P00030
P00033,CHILD_OF,P00030
P00036,SPOUSE,P00037
P00038,CHILD_OF,P00037
P00038,CHILD_OF,P00036
P00039,SPOUSE,P00040
